simplicial_motif_index, count
0,395393008.125000
1,422850855.911458
2,49424126.015625
3,161086040.347222
4,12813662.300347
5,153763947.604167
6,1830523.185764
7,95187205.659722
8,7322092.743056
9,14278080.848958
10,133170561.764323
11,54229249.378255
12,6178015.751953
14,9152615.928819
15,2440697.581019
17,51483464.599609
18,5491569.557292
19,4118677.167969
21,8694985.132378
22,37442519.708807
23,1497700.788352
24,3569520.212240
25,274578.477865
28,8923800.530599
29,1372892.389323
32,686446.194661
37,14382682.173859
38,2092026.498016
39,1830523.185764
41,261503.312252
43,8595500.176630
44,238763.893795
46,1996934.384470
47,99846.719223
48,199693.438447
50,99846.719223
52,299540.157670
66,523006.624504
67,261503.312252
72,439325.564583
73,439325.564583
80,109831.391146
103,43932.556458
