simplicial_motif_index, count
0,392062893.750000
1,522750525.000000
2,65343815.625000
3,136132949.218750
4,10890635.937500
5,134317843.229167
6,9075529.947917
7,125242313.281250
8,5445317.968750
9,14157826.718750
10,119796995.312500
11,48327196.972656
12,4764653.222656
14,12705741.927083
17,45604537.988281
18,4764653.222656
19,3403323.730469
21,3630211.979167
22,37127167.968750
23,1485086.718750
24,4900786.171875
25,272265.898438
28,5445317.968750
29,1020997.119141
37,16076653.050595
38,1037203.422619
39,1815105.989583
40,259300.855655
43,8759859.341033
44,1183764.775815
46,2574150.312500
48,99005.781250
52,396023.125000
64,99005.781250
66,907552.994792
67,388951.283482
72,1306876.312500
73,217812.718750
79,108906.359375
98,108906.359375
103,43562.543750
